文件名,格式,时长(s),大小(KB),采样率(Hz),声道数,比特率,MSE,PSNR(dB),复杂度,场景,比特深度,格式名称,QSI
语音_16000Hz_16bit.wav,2,5.967563,186.529296875,16000,1,256058,13795078.202951372,24.932224407353036,8,通用场景,16000,wav,0.1336638524084558
语音_16000Hz_8bit.wav,2,5.967563,93.2861328125,16000,1,128058,-558644.7139326149,100.0,7,通用场景,16000,wav,1.0719706883014917
语音_16000Hz_MP3_128kbps.mp3,1,6.048,95.10546875,16000,1,128820,12513546.62707764,25.355661913404305,8,网络传输、流媒体传输,16000,mp3,0.26660571938355865
语音_16000Hz_MP3_64kbps.mp3,1,6.048,47.57421875,16000,1,64439,12496184.468061708,25.361691799161303,8,移动设备、网络传输、流媒体传输,16000,mp3,0.5330973889962471
语音_22050Hz_16bit.wav,2,5.967574,257.044921875,22050,1,352858,11291950.295861991,25.80177649699293,8,通用场景,22050,wav,0.10037847201486531
语音_32000Hz_16bit.wav,2,5.967563,373.015625,32000,1,512058,1546109.3948953196,34.43706388376022,8,通用场景,32000,wav,0.09232070073139756
语音_44100Hz_16bit.wav,2,5.967551,514.044921875,44100,1,705658,3735013.858790359,30.60654389923924,9,专业录音,44100,wav,0.05954060160267825
语音_44100Hz_8bit.wav,2,5.967551,257.0439453125,44100,1,352858,3236.087928289426,61.22926294141529,9,专业录音,44100,wav,0.2382054277410662
语音_44100Hz_AAC_128kbps.aac,3,5.967007,42.8173828125,44100,1,58783,698980.5235818945,37.88481532813077,10,移动设备、网络传输、流媒体传输,44100,aac,0.8847998835900538
语音_44100Hz_AAC_192kbps.aac,3,5.967007,54.6279296875,44100,1,74997,3381682.577365029,31.03813767535628,10,移动设备、网络传输、流媒体传输,44100,aac,0.5681734206826156
语音_44100Hz_AAC_96kbps.aac,3,5.967007,33.18359375,44100,1,45557,1084605.4676632418,35.97674818080159,10,移动设备、网络传输、流媒体传输,44100,aac,1.0841727527116196
语音_44100Hz_MP3_128kbps.mp3,1,6.008163,94.3271484375,44100,1,128613,1160568.961446827,35.68275656029389,9,网络传输、流媒体传输,44100,mp3,0.37828723916038703
语音_44100Hz_MP3_192kbps.mp3,1,6.008163,141.4697265625,44100,1,192890,2095827.1318392365,33.1159114924955,10,网络传输、流媒体传输,44100,mp3,0.23408479182905043
语音_44100Hz_MP3_320kbps.mp3,1,6.008163,235.755859375,44100,1,321448,5500134.156188609,28.925733248395545,10,网络传输、流媒体传输,44100,mp3,0.1226935921129555
语音_44100Hz_MP3_64kbps.mp3,1,6.008163,47.1845703125,44100,1,64335,545065.5705801215,38.96497857128744,9,移动设备、网络传输、流媒体传输,44100,mp3,0.8257991608957166
语音_48000Hz_16bit.wav,2,5.967542,559.5,48000,1,768058,-324873.9023432318,100.0,10,高质量音频存储、专业录音,48000,wav,0.17873100983020554
语音_48000Hz_24bit.wav,2,5.967542,839.228515625,48000,1,1152058,0.0,100.0,10,高质量音频存储、专业录音,48000,wav,0.11915705691378568
语音_8000Hz_16bit.wav,2,5.967625,93.287109375,8000,1,128058,12392773.22626254,25.397781048594997,7,通用场景,8000,wav,0.27225391823965495
音乐_16000Hz_16bit.wav,2,10.0,312.54296875,16000,1,256035,32984636.4139625,21.146349062681907,8,通用场景,16000,wav,0.06765901388617275
音乐_16000Hz_MP3_128kbps.mp3,1,10.08,158.10546875,16000,1,128492,29314219.67985,21.658682694137653,8,网络传输、流媒体传输,16000,mp3,0.13698882692277306
音乐_22050Hz_16bit.wav,2,10.0,430.70703125,22050,1,352835,26250742.5736644,22.13805014413916,8,通用场景,22050,wav,0.05139932375817039
音乐_32000Hz_16bit.wav,2,10.0,625.04296875,32000,1,512035,37881378.72667765,20.545208303753043,8,通用场景,32000,wav,0.032870073468453914
音乐_44100Hz_16bit.wav,2,10.0,861.37109375,44100,1,705635,35901496.05149035,20.77834061086739,9,专业录音,44100,wav,0.02412240294761736
音乐_44100Hz_8bit.wav,2,10.0,430.70703125,44100,1,352835,3570779.8534258245,30.80183531739719,9,专业录音,44100,wav,0.07151458667392534
音乐_44100Hz_AAC_128kbps.aac,3,10.0,163.306640625,44100,1,133780,36884139.47275888,20.661069519468057,10,移动设备、网络传输、流媒体传输,44100,aac,0.12651702000846335
音乐_44100Hz_AAC_192kbps.aac,3,10.0,186.2138671875,44100,1,152546,36766191.69930737,20.674979602461164,10,移动设备、网络传输、流媒体传输,44100,aac,0.11102814153815617
音乐_44100Hz_AAC_256kbps.aac,3,10.0,186.3564453125,44100,1,152663,36569418.52846649,20.698285526309576,10,移动设备、网络传输、流媒体传输,44100,aac,0.11106825681076254
音乐_44100Hz_MP3_128kbps.mp3,1,10.03102,157.1845703125,44100,1,128367,32630964.243972603,21.193167001646543,9,网络传输、流媒体传输,44100,mp3,0.13482981796185353
音乐_44100Hz_MP3_192kbps.mp3,1,10.03102,235.755859375,44100,1,192533,34470985.48537924,20.954929079709917,10,网络传输、流媒体传输,44100,mp3,0.08888402237493664
音乐_44100Hz_MP3_320kbps.mp3,1,10.03102,392.8984375,44100,1,320867,36557888.4285824,20.699655044484203,10,网络传输、流媒体传输,44100,mp3,0.052684493163667016
音乐_44100Hz_MP3_64kbps.mp3,1,10.03102,78.61328125,44100,1,64200,30947355.780154448,21.42323059801059,9,移动设备、网络传输、流媒体传输,44100,mp3,0.2725141382902217
音乐_48000Hz_16bit.wav,2,10.0,937.54296875,48000,1,768035,35508207.637333214,20.82617856740052,10,高质量音频存储、专业录音,48000,wav,0.022213572349827855
音乐_48000Hz_24bit.wav,2,10.0,1406.29296875,48000,1,1152035,-4437242.3377682045,100.0,10,高质量音频存储、专业录音,48000,wav,0.07110893833799523
音乐_8000Hz_16bit.wav,2,10.0,156.29296875,8000,1,128035,63583337.757275,18.2960328540631,7,通用场景,8000,wav,0.11706241810102605
